date,item_id,starting_stock,wastage_units,reorder_threshold,supplier_lead_days
2025-09-01,ITEM_01,212,1,51,1
2025-09-01,ITEM_02,100,1,24,2
2025-09-01,ITEM_03,87,2,21,2
2025-09-01,ITEM_04,125,1,30,1
2025-09-01,ITEM_05,150,0,36,1
2025-09-01,ITEM_06,37,4,9,2
2025-09-01,ITEM_07,62,3,15,2
2025-09-01,ITEM_08,75,6,18,2
2025-09-02,ITEM_01,212,2,51,1
2025-09-02,ITEM_02,100,22,24,2
2025-09-02,ITEM_03,87,7,21,2
2025-09-02,ITEM_04,125,2,30,1
2025-09-02,ITEM_05,150,1,36,1
2025-09-02,ITEM_06,37,1,9,2
2025-09-02,ITEM_07,62,2,15,2
2025-09-02,ITEM_08,75,3,18,2
2025-09-03,ITEM_01,212,0,51,1
2025-09-03,ITEM_02,100,1,24,2
2025-09-03,ITEM_03,87,2,21,2
2025-09-03,ITEM_04,125,1,30,1
2025-09-03,ITEM_05,150,3,36,1
2025-09-03,ITEM_06,37,3,9,2
2025-09-03,ITEM_07,62,4,15,2
2025-09-03,ITEM_08,75,2,18,2
2025-09-04,ITEM_01,212,3,51,1
2025-09-04,ITEM_02,100,20,24,2
2025-09-04,ITEM_03,87,3,21,2
2025-09-04,ITEM_04,125,2,30,1
2025-09-04,ITEM_05,150,1,36,1
2025-09-04,ITEM_06,37,2,9,2
2025-09-04,ITEM_07,62,2,15,2
2025-09-04,ITEM_08,75,5,18,2
2025-09-05,ITEM_01,212,0,51,1
2025-09-05,ITEM_02,100,3,24,2
2025-09-05,ITEM_03,87,1,21,2
2025-09-05,ITEM_04,125,4,30,1
2025-09-05,ITEM_05,150,2,36,1
2025-09-05,ITEM_06,37,4,9,2
2025-09-05,ITEM_07,62,0,15,2
2025-09-05,ITEM_08,75,2,18,2
2025-09-06,ITEM_01,212,1,51,1
2025-09-06,ITEM_02,100,4,24,2
2025-09-06,ITEM_03,87,0,21,2
2025-09-06,ITEM_04,125,1,30,1
2025-09-06,ITEM_05,150,3,36,1
2025-09-06,ITEM_06,37,2,9,2
2025-09-06,ITEM_07,62,2,15,2
