date,item_id,quantity_sold,payment_type,status
2025-09-01,ITEM_01,87.0,Card,COMPLETED
2025-09-01,ITEM_02,39.0,Cash,COMPLETED
2025-09-01,ITEM_03,32.0,Card,COMPLETED
2025-09-01,ITEM_04,52.0,Card,COMPLETED
2025-09-01,ITEM_05,56.0,Card,COMPLETED
2025-09-01,ITEM_06,17.0,Card,COMPLETED
2025-09-01,ITEM_07,19.0,Card,COMPLETED
2025-09-01,ITEM_08,29.0,Card,COMPLETED
2025-09-02,ITEM_01,84.0,Card,COMPLETED
2025-09-02,ITEM_02,38.0,Card,COMPLETED
2025-09-02,ITEM_03,27.0,Card,COMPLETED
2025-09-02,ITEM_04,46.0,Card,COMPLETED
2025-09-02,ITEM_05,61.0,Cash,COMPLETED
2025-09-02,ITEM_06,14.0,Card,COMPLETED
2025-09-02,ITEM_07,38.0,Card,COMPLETED
2025-09-02,ITEM_08,24.0,Card,COMPLETED
2025-09-03,ITEM_01,82.0,Cash,COMPLETED
2025-09-03,ITEM_02,33.0,Cash,COMPLETED
2025-09-03,ITEM_03,30.0,Card,COMPLETED
2025-09-03,ITEM_04,47.0,Card,COMPLETED
2025-09-03,ITEM_05,64.0,Card,COMPLETED
2025-09-03,ITEM_06,9.0,Card,COMPLETED
2025-09-03,ITEM_07,23.0,Card,COMPLETED
2025-09-03,ITEM_08,26.0,Card,COMPLETED
2025-09-04,ITEM_01,82.0,Card,COMPLETED
2025-09-04,ITEM_02,45.0,Card,COMPLETED
2025-09-04,ITEM_03,26.0,Card,COMPLETED
2025-09-04,ITEM_04,50.0,Cash,COMPLETED
2025-09-04,ITEM_05,61.0,Card,COMPLETED
2025-09-04,ITEM_06,19.0,Card,COMPLETED
2025-09-04,ITEM_07,30.0,Card,COMPLETED
2025-09-04,ITEM_08,25.0,Card,COMPLETED
2025-09-05,ITEM_01,77.0,Card,COMPLETED
2025-09-05,ITEM_02,39.0,Card,COMPLETED
2025-09-05,ITEM_03,37.0,Cash,COMPLETED
2025-09-05,ITEM_04,49.0,Card,COMPLETED
2025-09-05,ITEM_05,65.0,Card,COMPLETED
2025-09-05,ITEM_06,15.0,Cash,COMPLETED
2025-09-05,ITEM_07,26.0,Card,COMPLETED
2025-09-05,ITEM_08,30.0,Card,COMPLETED
2025-09-06,ITEM_01,106.0,Card,COMPLETED
2025-09-06,ITEM_02,50.0,Card,COMPLETED
2025-09-06,ITEM_03,42.0,Card,COMPLETED
2025-09-06,ITEM_04,69.0,Cash,COMPLETED
2025-09-06,ITEM_05,79.0,Card,COMPLETED
2025-09-06,ITEM_06,11.0,Card,COMPLETED
2025-09-06,ITEM_07,34.0,Card,COMPLETED
2025-09-06,ITEM_08,42.0,Card,COMPLETED
2025-09-07,ITEM_01,110.0,Cash,COMPLETED
2025-09-07,ITEM_02,63.0,Card,COMPLETED
2025-09-07,ITEM_03,48.0,Card,COMPLETED
2025-09-07,ITEM_04,65.0,Card,COMPLETED
2025-09-07,ITEM_05,75.0,Card,COMPLETED
2025-09-07,ITEM_06,23.0,Cash,COMPLETED
